Kinnistu number;Kinnistu liik;Katastritunnus;Sihtotstarve;Aadress;Pindala;ReaalosaNR
13342602;Kinnisasi;65301:001:6181;Transpordimaa 100%;Lennuradari tee L11, Soodevahe küla, Rae vald, Harju maakond;20186,0 m2; *
13342702;Kinnisasi;65301:002:1459;Transpordimaa 100%;Kanali tee 9a, Rae küla, Rae vald, Harju maakond;11698 m2; *
14454902;Kinnisasi;65301:001:6148;Transpordimaa 100%;Lennujaama, Rae küla, Rae vald, Harju maakond;63040,0 m2; *
14456602;Kinnisasi;65301:001:4941;Maatulundusmaa 100%;Linnulennu, Rae küla, Rae vald, Harju maakond;69541 m2; *
14456702;Kinnisasi;65301:001:6156;Transpordimaa 100%;Pilvevälja, Rae küla, Rae vald, Harju maakond;219410,0 m2; *
14498902;Kinnisasi;65301:002:1792;Tootmismaa 50%, Ärimaa 50%;Kuusiku, Soodevahe küla, Rae vald, Harju maakond;193102 m2; *
14499002;Kinnisasi;65301:001:6178;Maatulundusmaa 100%;Künka, Soodevahe küla, Rae vald, Harju maakond;7278,0 m2; *
15978450;Kinnisasi;29101:001:0262;Transpordimaa 100%;Raadiomajaka, Aardla küla, Kastre vald, Tartu maakond;4630,0 m2; *
22004850;Kinnisasi;80901:001:0979;Maatulundusmaa 100%;Jõevahe, Eametsa küla, Tori vald, Pärnu maakond;13039,0 m2; *
23183750;Kinnisasi;65301:001:6149;Transpordimaa 55%, Ärimaa 45%;Lennuradari tee 32, Rae küla, Rae vald, Harju maakond;18245,0 m2; *
23183850;Kinnisasi;65301:001:6150;Transpordimaa 55%, Ärimaa 45%;Lennuradari tee 38, Rae küla, Rae vald, Harju maakond;14164,0 m2; *
23183950;Kinnisasi;65301:001:6151;Transpordimaa 55%, Ärimaa 45%;Lennuradari tee 30, Rae küla, Rae vald, Harju maakond;20316,0 m2; *
23184050;Kinnisasi;65301:001:6152;Transpordimaa 55%, Ärimaa 45%;Lennuradari tee 40, Rae küla, Rae vald, Harju maakond;25321,0 m2; *
23184150;Kinnisasi;65301:001:6153;Transpordimaa 55%, Ärimaa 45%;Lennuradari tee 42, Rae küla, Rae vald, Harju maakond;18171,0 m2; *
23184250;Kinnisasi;65301:001:6154;Transpordimaa 55%, Ärimaa 45%;Lennuradari tee 36, Rae küla, Rae vald, Harju maakond;18774,0 m2; *
23184350;Kinnisasi;65301:001:6155;Transpordimaa 55%, Ärimaa 45%;Lennuradari tee 34, Rae küla, Rae vald, Harju maakond;24898,0 m2; *
24960101;Kinnisasi;78403:315:0136;Sihtotstarbeta maa 100%;Kanali tee 50, Lasnamäe linnaosa, Tallinn, Harju maakond;131088,0 m2; *
24960201;Kinnisasi;78403:315:0135;Sihtotstarbeta maa 100%;Kesk-Sõjamäe tn 22b, Lasnamäe linnaosa, Tallinn, Harju maakond;10733,0 m2; *
24960301;Kinnisasi;78403:314:0103;Sihtotstarbeta maa 100%;Suur-Sõjamäe tn 58, Lasnamäe linnaosa, Tallinn, Harju maakond;26607 m2; *
25071750;Kinnisasi;65301:001:6220;Transpordimaa 100%;Roosimäe tee L2, Soodevahe küla, Rae vald, Harju maakond;1559,0 m2; *
26178001;Kinnisasi;78403:314:0215;Ärimaa 100%;Väike-Sõjamäe tn 22, Lasnamäe linnaosa, Tallinn, Harju maakond;8050,0 m2; *
26178101;Kinnisasi;78403:314:0216;Transpordimaa 100%;Väike-Sõjamäe tänav T4, Lasnamäe linnaosa, Tallinn, Harju maakond;1865 m2; *
26986201;Kinnisasi;78403:315:0166;Sihtotstarbeta maa 100%;Kanali tee 40, Lasnamäe linnaosa, Tallinn, Harju maakond;161108 m2; *
